out:Speech Transmission Index_1,out:Speech Transmission Index_2,out:Speech Transmission Index_3
0.570712,0.624895,0.633531
0.565678,0.621051,0.629258
0.583075,0.639549,0.647902
0.574451,0.630394,0.638626
0.580372,0.63672,0.645141
0.579077,0.634537,0.64299
0.569225,0.62616,0.634162
0.577097,0.633262,0.641709
0.575855,0.633022,0.641221
0.563072,0.621082,0.628947
0.569446,0.625995,0.633879
0.56884,0.625122,0.633321
0.574207,0.630878,0.639303
0.571455,0.627411,0.635718
0.570911,0.628054,0.636216
0.579,0.635238,0.643692
0.578491,0.635594,0.643848
0.567356,0.624649,0.632839
0.579145,0.635812,0.644174
0.577042,0.635014,0.643153
0.561055,0.620044,0.627823
0.574638,0.630744,0.639119
0.565054,0.622294,0.630461
0.580984,0.638065,0.646424
0.567191,0.624236,0.632442
0.572767,0.630581,0.638693
0.570764,0.627873,0.635993
0.563781,0.620531,0.62865
0.570062,0.627126,0.635461
0.569094,0.625506,0.633677
0.576221,0.634085,0.642441
0.569318,0.627096,0.635171
0.574893,0.632461,0.640498
0.566816,0.624787,0.632621
0.565848,0.623243,0.631296
0.567447,0.62541,0.633476
0.56951,0.626398,0.634626
0.63404,0.678617,0.687987
0.666335,0.7065,0.716289
0.747887,0.781942,0.793001
0.829913,0.854057,0.867078
0.748716,0.782835,0.793935
0.666714,0.708541,0.718345
0.626849,0.67232,0.681816
0.602508,0.650663,0.659848
0.630016,0.675796,0.684944
0.655506,0.697446,0.707037
0.708166,0.746249,0.756526
0.748463,0.782731,0.793822
0.704555,0.742331,0.752522
0.650633,0.693679,0.703224
0.624371,0.67037,0.679706
0.607222,0.654575,0.663841
0.612349,0.65949,0.668653
0.623504,0.668549,0.677786
0.646419,0.689836,0.699323
0.66215,0.704506,0.714095
0.64466,0.687945,0.69738
0.63136,0.677773,0.687195
0.610574,0.658318,0.667528
0.595211,0.643775,0.652729
0.60497,0.653213,0.662144
0.613118,0.66133,0.670434
0.616367,0.664319,0.673397
0.61899,0.66532,0.674411
0.615558,0.663157,0.672331
0.611212,0.660026,0.669074
0.594962,0.643991,0.652874
0.59232,0.642603,0.651408
0.599268,0.64954,0.658511
0.596881,0.64672,0.655763
0.600863,0.649968,0.65893
0.60408,0.653569,0.662531
0.60515,0.654249,0.663108
0.59339,0.644276,0.653014
0.592555,0.642956,0.651929
0.586588,0.638111,0.646869
0.593637,0.644997,0.653758
0.587332,0.639484,0.648238
0.589033,0.640539,0.649249
0.593695,0.645007,0.653814
0.589705,0.640755,0.649598
0.588688,0.641107,0.649658
0.582203,0.634179,0.643033
0.586926,0.640381,0.648659
0.583489,0.635422,0.644061
0.582981,0.636246,0.644925
0.582831,0.635229,0.644004
0.573902,0.627853,0.6362
0.585893,0.639066,0.647565
0.567999,0.622485,0.630642
0.572482,0.626588,0.635023
0.583607,0.638101,0.646435
0.574391,0.629393,0.637694
0.57354,0.627379,0.635846
0.579167,0.633459,0.641922
0.576243,0.632099,0.64049
0.579176,0.634248,0.642615
0.570386,0.625091,0.633399
0.568672,0.62471,0.632801
0.579668,0.634309,0.642882
0.577038,0.631709,0.640203
0.579428,0.635092,0.64352
0.574723,0.629949,0.63843
0.584209,0.639816,0.648515
0.572977,0.629697,0.637934
0.570663,0.627189,0.635201
0.564959,0.620872,0.628786
0.577528,0.633078,0.64162
0.581435,0.637016,0.645392
0.579501,0.634561,0.64308
0.569869,0.627121,0.63508
0.577055,0.631993,0.640608
0.576731,0.633509,0.641818
0.568947,0.626021,0.634078
0.568219,0.624691,0.632946
0.575352,0.632104,0.640272
0.570669,0.627786,0.635944
0.569457,0.628053,0.63594
0.576998,0.633388,0.641689
0.57465,0.632824,0.640684
0.576609,0.634121,0.642357
0.576103,0.633058,0.641276
0.57737,0.634812,0.643332
0.577617,0.634752,0.643024
0.577215,0.633972,0.642347
0.568947,0.628161,0.636028
0.569121,0.627564,0.635643
0.568033,0.626712,0.634618
0.572303,0.629397,0.637629
0.568735,0.628191,0.636177
0.570828,0.628509,0.636556
0.569583,0.628581,0.636521
